,date,bithumb,coinone,korbit,upbit,gopax
138,2014-05-14,74973,0,0,0,0
139,2014-05-15,149368,0,0,0,0
140,2014-05-16,133015,0,0,0,0
141,2014-05-17,73282,0,0,0,0
142,2014-05-18,58378,0,0,0,0
143,2014-05-19,119526,0,0,0,0
144,2014-05-20,231242,0,0,0,0
145,2014-05-21,258070,0,0,0,0
146,2014-05-22,379095,0,0,0,0
147,2014-05-23,442982,0,0,0,0
148,2014-05-24,209465,0,0,0,0
149,2014-05-25,390028,0,0,0,0
150,2014-05-26,559531,0,0,0,0
151,2014-05-27,416076,0,0,0,0
152,2014-05-28,467432,0,0,0,0
153,2014-05-29,216518,0,0,0,0
154,2014-05-30,474869,0,0,0,0
155,2014-05-31,187883,0,0,0,0
156,2014-06-01,447770,0,0,0,0
157,2014-06-02,648428,0,0,0,0
158,2014-06-03,501106,0,0,0,0
159,2014-06-04,526102,0,0,0,0
160,2014-06-05,362900,0,0,0,0
161,2014-06-06,166038,0,0,0,0
162,2014-06-07,112069,0,0,0,0
163,2014-06-08,66776,0,0,0,0
164,2014-06-09,479770,0,0,0,0
165,2014-06-10,284933,0,0,0,0
166,2014-06-11,318765,0,0,0,0
167,2014-06-12,594212,0,0,0,0
168,2014-06-13,432194,0,0,0,0
169,2014-06-14,368596,0,0,0,0
170,2014-06-15,304163,0,0,0,0
171,2014-06-16,528398,0,0,0,0
172,2014-06-17,307433,0,0,0,0
173,2014-06-18,382146,0,0,0,0
174,2014-06-19,190258,0,0,0,0
175,2014-06-20,270369,0,0,0,0
176,2014-06-21,295605,0,0,0,0
177,2014-06-22,178372,0,0,0,0
178,2014-06-23,399535,0,0,0,0
179,2014-06-24,463711,0,0,0,0
180,2014-06-25,301109,0,0,0,0
181,2014-06-26,439013,0,0,0,0
182,2014-06-27,595458,0,0,0,0
183,2014-06-28,270399,0,0,0,0
184,2014-06-29,68920,0,0,0,0
185,2014-06-30,867431,0,0,0,0
186,2014-07-01,776862,0,0,0,0
187,2014-07-02,376633,0,0,0,0
188,2014-07-03,700948,0,0,0,0
189,2014-07-04,346084,0,0,0,0
190,2014-07-05,359720,0,0,0,0
191,2014-07-06,221810,0,0,0,0
192,2014-07-07,753188,0,0,0,0
193,2014-07-08,269750,0,0,0,0
194,2014-07-09,702431,0,0,0,0
195,2014-07-10,1452448,0,0,0,0
196,2014-07-11,801715,0,0,0,0
197,2014-07-12,266163,0,0,0,0
198,2014-07-13,128653,0,0,0,0
199,2014-07-14,278371,0,0,0,0
200,2014-07-15,526003,0,0,0,0
201,2014-07-16,457292,0,0,0,0
202,2014-07-17,453651,0,0,0,0
203,2014-07-18,525106,0,0,0,0
204,2014-07-19,434976,0,0,0,0
205,2014-07-20,223398,0,0,0,0
206,2014-07-21,602405,0,0,0,0
207,2014-07-22,513749,0,0,0,0
208,2014-07-23,951267,0,0,0,0
209,2014-07-24,682552,0,0,0,0
210,2014-07-25,359746,0,0,0,0
211,2014-07-26,200783,0,0,0,0
212,2014-07-27,112270,0,0,0,0
213,2014-07-28,729972,0,0,0,0
214,2014-07-29,478903,0,0,0,0
215,2014-07-30,633667,0,0,0,0
216,2014-07-31,0,0,0,0,0
217,2014-08-01,604452,0,0,0,0
218,2014-08-02,344297,0,0,0,0
219,2014-08-03,110809,0,0,0,0
220,2014-08-04,344113,0,0,0,0
221,2014-08-05,710143,0,0,0,0
222,2014-08-06,655138,0,0,0,0
223,2014-08-07,624565,0,0,0,0
224,2014-08-08,685510,0,0,0,0
225,2014-08-09,308853,0,0,0,0
226,2014-08-10,241316,0,0,0,0
227,2014-08-11,836793,0,0,0,0
228,2014-08-12,929249,0,0,0,0
229,2014-08-13,1288712,0,0,0,0
230,2014-08-14,1031009,0,0,0,0
231,2014-08-15,351886,0,0,0,0
232,2014-08-16,497267,0,0,0,0
233,2014-08-17,488377,0,0,0,0
234,2014-08-18,956469,0,0,0,0
235,2014-08-19,773043,0,0,0,0
236,2014-08-20,925215,0,0,0,0
237,2014-08-21,1131436,0,0,0,0
238,2014-08-22,704957,0,0,0,0
239,2014-08-23,519001,0,0,0,0
240,2014-08-24,310465,0,0,0,0
241,2014-08-25,713163,0,0,0,0
242,2014-08-26,858287,0,0,0,0
243,2014-08-27,495655,0,0,0,0
244,2014-08-28,330375,0,0,0,0
245,2014-08-29,257892,0,0,0,0
246,2014-08-30,113643,0,0,0,0
247,2014-08-31,371041,0,0,0,0
248,2014-09-01,313534,0,0,0,0
249,2014-09-02,250000,0,0,0,0
250,2014-09-03,218756,0,0,0,0
251,2014-09-04,446852,0,0,0,0
252,2014-09-05,288146,0,0,0,0
253,2014-09-06,111204,0,0,0,0
254,2014-09-07,63290,0,0,0,0
255,2014-09-08,158830,0,0,0,0
256,2014-09-09,173329,0,0,0,0
257,2014-09-10,231363,0,0,0,0
258,2014-09-11,182884,0,0,0,0
259,2014-09-12,421433,0,0,0,0
260,2014-09-13,264681,0,0,0,0
261,2014-09-14,107849,0,0,0,0
262,2014-09-15,211261,0,0,0,0
263,2014-09-16,406320,0,0,0,0
264,2014-09-17,345504,0,0,0,0
265,2014-09-18,587067,0,0,0,0
266,2014-09-19,928992,0,0,0,0
267,2014-09-20,711026,0,0,0,0
268,2014-09-21,599462,0,0,0,0
269,2014-09-22,443987,0,0,0,0
270,2014-09-23,710394,0,0,0,0
271,2014-09-24,489819,0,0,0,0
272,2014-09-25,504153,0,0,0,0
273,2014-09-26,607678,0,0,0,0
274,2014-09-27,305225,0,0,0,0
275,2014-09-28,411347,0,0,0,0
276,2014-09-29,588397,0,0,0,0
277,2014-09-30,560238,0,0,0,0
278,2014-10-01,338610,0,0,0,0
279,2014-10-02,281113,0,0,0,0
280,2014-10-03,348938,0,0,0,0
281,2014-10-04,404912,0,0,0,0
282,2014-10-05,659443,0,0,0,0
283,2014-10-06,730762,0,0,0,0
284,2014-10-07,633214,0,0,0,0
285,2014-10-08,672817,0,0,0,0
